vol,cid,cite,abbrev,already_resolved,is_self_ref,author_name,work_title,context_before
5,ch004,lib. 2 cap. 7,lib,True,False,,,"imputari ad justitiam; vel nos justos esse per Christi justitiam nobis imputatam"", De Justificat.,"
5,ch004,"lib. 2, cap. 10",lib,True,False,,,"tiam et merita; cum nobis donentur et applicentur; ac si nos ipsi Deo satisfecissemus"". De Justif.,"
5,ch004,Epist. ad Innocent. 190,epist,True,False,Bernard of Clairvaux,Letters,"d unto us, as if we ourselves had satisfied God."" And this he confirms with that saying of Bernard,"
5,ch004,"lib. 2, cap. 1",lib,True,False,,,"m that seemed to be different from one another, reckoning that of Osiander for one, De Justificat.,"
5,ch004,"Ep. 202, 209",ep,True,False,Horace,Epistles,"e unto. ""Somnia, terrores magici, miracula, sagae Nocturni lemures, portentaque Thessala,"" — (Hor.,"
5,ch008,lib. 2,lib,True,False,,,"in adoption, unto him by whom he was adopted, which, what it is, is well declared by Budaeus, Cajus"
5,ch008,"Epist. 2, 29",epist,False,False,,,"in the New Testament (nor, it may be, in any other author) but by him. And he uses it expressly, 1"
5,ch009,lib. 2 cap. 16,lib,True,False,Robert Bellarmine,,"before described: but James treats of the second justification; which is by good works. So Bellar.,"
5,ch010,lib. 2 cap. 15,lib,True,False,,,"of Scripture wherein any one is denominated righteous from habitual righteousness, (De Justificat.,"
5,ch011,lib. 18 cap. 1,lib,True,False,,,"ad quos pervenerit incorrupta rerum fides, magno authori suo imputate"", Senec. ad Mart.  And Plin.,"
5,ch011,lib. 4 cap. 10,lib,True,False,,,"tum Adami ita posteris omnibus imputatur, ac si omnes idem peccatum patravissent"", De Amiss. Grat.,"
5,ch012,Serm. 17,serm,True,False,Leo the Great,Sermons,"carnem indutus"", etc., Montacut. Origin. Ecclesiast.  The ancients speak to the same purpose. Leo."
5,ch012,Serm. 16,serm,True,False,,,", ut dum Deus sua facit esse quae nostra sunt, nostra faceret esse quae sua sunt</span>"";  and also"
5,ch012,Epist. 120,epist,False,False,Augustine of Hippo,,"crucis sub redemptorum suorum voce clamavit</span>"".  And so speaks Augustine to the same purpose,"
5,ch012,lib. 3 cap. 33,lib,False,False,,,"em hominum in semet ipso recapitulatus est; unde a Paulo typus futuri dictus est ipse Adam</span>"","
5,ch012,Epist. 62,epist,True,False,Cyprian of Carthage,Letters,"by saying, ""The soul of the first Adam was the soul of Christ, it is charged on him"". And Cyprian,"
5,ch012,lib. 10 cap. 1,lib,True,False,Eusebius of Caesarea,,"ῆμεν? — ""We suffered in him."" Eusebius speaks many things to this purpose, Demonstrate.  Evangeli."
5,ch012,lib. 7 cap. 7,lib,True,False,Robert Bellarmine,On the Loss of Grace and State of Sin,"her ""dignitatem poenae,"" or ""obligationem ad poenam,"" as Bellarmine distinguishes. De Amiss. Grat.,"
5,ch012,lib. 5,lib,True,False,,,"rtuna loca dividenda praefectis esse ac suae quique partis tutandae reus sit"", Liv. De Bello Punic."
5,ch012,lib. 4,lib,False,False,,,"affinitate, regiam aut aliquibus ministeriis contigissent, alienae culpae rei trucidarentur"", B.P.,"
